person,personLabels,birthDates,birthPlaceLabels,deathDates,deathPlaceLabels,occupationLabels
http://www.wikidata.org/entity/Q60416074,Jacobus van Eck,1873-11-23T00:00:00Z,Jacobus van Eck,1946-09-16T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q60486310,Bernard Gompers,1895-06-07T00:00:00Z,Bernard Gompers,1943-02-26T00:00:00Z,Auschwitz,photographer
http://www.wikidata.org/entity/Q60738754,Willem Frederik van Oosten,1909-01-23T00:00:00Z,Willem Frederik van Oosten,2006-06-20T00:00:00Z,Zwolle,photographer
http://www.wikidata.org/entity/Q61246303,Pieter L. de Vrieze,1917-11-02T00:00:00Z,Pieter L. de Vrieze,1987-06-10T00:00:00Z,Groningen,architect
http://www.wikidata.org/entity/Q61653526,Izaäk Blomhert,1879-11-03T00:00:00Z,Izaäk Blomhert,1956-05-17T00:00:00Z,Amsterdam,architect
http://www.wikidata.org/entity/Q61928824,J.G. van Agtmaal,1912-04-27T00:00:00Z,J.G. van Agtmaal,1990-10-15T00:00:00Z,Hilversum,photographer
http://www.wikidata.org/entity/Q61945931,Henk Valks,1887-11-28T00:00:00Z,Henk Valks,1955-01-01T00:00:00Z,,photographer
http://www.wikidata.org/entity/Q61946556,Maria Toby,1936-03-19T00:00:00Z,Maria Toby,1984-10-08T00:00:00Z,Rotterdam,photographer
http://www.wikidata.org/entity/Q62027210,Anny de Vries,1900-07-24T00:00:00Z,Anny de Vries,1942-09-30T00:00:00Z<|>1943-01-01T00:00:00Z,Auschwitz,photographer
http://www.wikidata.org/entity/Q63803762,Onno Meeter,1939-03-21T00:00:00Z,Onno Meeter,2004-08-18T00:00:00Z,The Hague,photographer
http://www.wikidata.org/entity/Q63803775,Wim Meischke,1925-07-02T00:00:00Z,Wim Meischke,2015-08-31T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q63803789,Henny Riemens,1928-01-01T00:00:00Z,Henny Riemens,1992-01-01T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q63803793,Annelies Romein,1925-01-17T00:00:00Z,Annelies Romein,2007-10-13T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q63803806,Ed Suister,1934-01-01T00:00:00Z,Ed Suister,2003-01-01T00:00:00Z,,photographer
http://www.wikidata.org/entity/Q63803805,Nico van der Stam,1925-06-24T00:00:00Z,Nico van der Stam,2000-09-10T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q63803814,Peter van der Velde,1936-02-19T00:00:00Z,Peter van der Velde,2016-04-13T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q69678675,Jan Eduard Kann,1908-08-20T00:00:00Z,Jan Eduard Kann,1965-10-07T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q69679631,Cas van Os,1907-03-25T00:00:00Z,Cas van Os,1989-01-01T00:00:00Z,,photographer
http://www.wikidata.org/entity/Q69680373,Johanna  IJzerman,1910-07-19T00:00:00Z,Johanna  IJzerman,1999-02-02T00:00:00Z,Rotterdam,photographer
